AGE GROUP	TOTAL	MALE	FEMALE	UNSPEC	A	D	L	R	N	U	C	G	V
18 AND 19	6,916	3,421	3,410	85	290	639	121	1,445	955	3,438	10	15	3
20	5,985	2,915	2,995	75	262	621	77	1,319	775	2,909	6	13	3
21	7,351	3,635	3,658	58	318	710	109	1,587	997	3,607	2	14	7
22 THRU 24	26,715	13,204	13,261	250	1,085	3,063	643	5,707	3,545	12,547	20	76	29
25 THRU 34	101,737	50,301	50,527	909	3,037	12,613	2,434	23,865	14,426	44,636	47	426	253
35 THRU 44	87,418	44,440	42,558	420	2,888	11,299	1,394	24,532	12,219	34,384	30	441	231
45 THRU 54	93,403	47,594	45,451	358	3,164	12,731	1,138	29,420	14,374	31,994	30	334	218
55 THRU 59	49,729	25,067	24,479	183	1,645	7,841	503	14,105	9,557	15,772	14	183	109
60 AND 61	18,305	9,552	8,702	51	567	3,085	186	4,773	4,023	5,561	1	62	47
62 THRU 64	23,488	12,337	11,085	66	656	4,159	175	6,006	5,542	6,804	5	84	57
65 THRU 74	46,358	24,361	21,858	139	1,292	8,059	308	13,212	11,064	12,195	4	103	121
ABOVE 75	21,243	10,057	11,128	58	624	4,140	76	6,906	4,816	4,607	1	25	48
UNKNOWN	484	252	196	36	16	40	19	60	68	275	0	6	0
TOTAL	489,132	247,136	239,308	2,688	15,844	69,000	7,183	132,937	82,361	178,729	170	1,782	1,126
